ClassID,UserID,NumTrial,Condition,ColorORWord,WordDisplayed,ColorOfStimulus,ColorOfResponse,ReactionTime,Gender,Age
6110,156772,1,ConW,C,YELLOW,Y,Y,1389.0,M,26
6110,156772,2,ConW,C,GREEN,G,G,2043.0,M,26
6110,156772,3,ConW,C,RED,R,R,1389.0,M,26
6110,156772,4,ConW,C,YELLOW,Y,Y,1092.0,M,26
6110,156772,5,ConW,C,GREEN,G,G,1310.0,M,26
6110,156772,6,ConW,C,RED,R,R,920.0,M,26
6110,156772,7,ConW,C,BLUE,B,B,1529.0,M,26
6110,156772,8,ConW,C,YELLOW,Y,Y,936.0,M,26
6110,156772,9,ConW,C,BLUE,B,B,1467.0,M,26
6110,156772,10,ConW,C,GREEN,G,G,1045.0,M,26
6110,156772,11,ConW,C,BLUE,B,B,1123.0,M,26
6110,156772,12,ConW,C,RED,R,R,1061.0,M,26
6110,156772,13,ConW,C,YELLOW,Y,Y,1029.0,M,26
6110,156772,14,ConW,C,RED,R,R,1732.0,M,26
6110,156772,15,ConW,C,YELLOW,Y,Y,1560.0,M,26
6110,156772,16,ConW,C,RED,R,R,1279.0,M,26
6110,156772,17,ConW,C,BLUE,B,B,1435.0,M,26
6110,156772,18,ConW,C,GREEN,G,G,952.0,M,26
6110,156772,19,ConW,C,BLUE,B,B,1326.0,M,26
6110,156772,20,ConW,C,GREEN,G,G,1185.0,M,26
6110,156772,21,ConW,C,RED,R,R,999.0,M,26
6110,156772,22,ConW,C,YELLOW,Y,Y,1029.0,M,26
6110,156772,23,ConW,C,GREEN,G,G,1170.0,M,26
6110,156772,24,ConW,C,YELLOW,Y,Y,968.0,M,26
6110,156772,25,ConW,C,GREEN,G,G,936.0,M,26
6110,156772,26,ConW,C,YELLOW,Y,Y,936.0,M,26
6110,156772,27,ConW,C,RED,R,R,1435.0,M,26
6110,156772,28,ConW,C,BLUE,B,B,951.0,M,26
6110,156772,29,ConW,C,GREEN,G,G,905.0,M,26
6110,156772,30,ConW,C,YELLOW,Y,Y,733.0,M,26
6110,156772,31,ConW,C,RED,R,R,843.0,M,26
